Id,Name,Categories,Last_modified,Modified_by
5900643042342,"Jogurt naturalny Bio że szczepami bakterii ActiRegularis – Acrivia,Danone – 150 g","['Produkty mleczne', 'Produkty fermentowane', 'Produkty mleczne fermentowane', 'Desery', 'Desery mleczne', 'Desery mleczne fermentowane', 'Jogurty', 'Jogurty naturalne']",1764700717,['OFF']
5902310007326,Salami peperoni – Sokołow,"['Mięsa', 'Gotowe mięso mielone', 'Kiełbasy', 'Salami']",1764700717,['OFF']
5902802760012,Świeże jaja – Moja kurka – 10 szt.,['Jajka'],1764700717,['OFF']
5907809760225,"Jaja L – Biedronka,Ovos – 10 szt.",['Jajka'],1764700717,['OFF']
5901597385103,porcja dobra – 16 g,['Produkty roślinne'],1764700717,['OFF']
0920119000329,Ryż Jaśminowy – Kupiec,['Ryże'],1764700717,['OFF']
5901888013630,Candi Zabawa Smakiem,"['Przekąski', 'Słodkie przekąski', 'Słodycze', 'Cukierki']",1764700717,['OFF']
2802401000102,pyza drożdżowa – Społem – 70 g,['Kluski'],1764700717,['OFF']
5906395491018,Dobry Materiał z yerba mate,['Napoje'],1764700717,['OFF']
5907544131755,Gnocchi nadziewane serem Gorgonzola – Gustobello – 400g,"['Produkty roślinne', 'Gnocchi']",1764700717,['OFF']
5900038001916,Budyń o smaku śmietankowym – Celiko – 40 g,"['Mieszanki do deserów', 'Budyń']",1764700717,['OFF']
5900617039514,"Hummus z papryką na ostro – I&lt;3vege,I love vege,Sante","['Produkty roślinne', 'Przyprawy', 'Smarowidła', 'Pasty roślinne', 'Słone smarowidła', 'Sosy', 'Dipy', 'Humus']",1764700717,['OFF']
8714801605440,Mini naleśniki – 300 g,"['Dania gotowe', 'Naleśniki']",1764700717,['OFF']
5905689310974,"X Energy Drink classic taste – DRINK ID,X Energy Drink – 250 ml","['Napoje', 'Napoje słodzone', 'Napoje energetyczne', 'Napoje energetyczne, Napoje słodzone']",1764700717,['OFF']
5900628004242,Mleko Koneckie 3.5% – OSM Końskie,"['Produkty mleczne', 'Mleka']",1764700717,['OFF']
5203447760055,Extra Virgin Olive Oil – Neféli – 500 ml,"['Produkty roślinne', 'Tłuszcze', 'Tłuszcze roślinne', 'Oliwki i produkty pochodne', 'Oleje roślinne', 'Oliwy z oliwek', 'Oliwy z oliwek virgin']",1764700717,['OFF']
5900562571503,"Vege Mielone klasyczne – Sokołów Roślinny,Sokołów – 300 g","['Zamienniki mięsa', 'Soja mielona', 'Mięsa mielone, Dla wegan']",1764700717,['OFF']
5902898820874,"Chinese cuisine spice mix – House of Asia,De Care – 20 g","['Produkty roślinne', 'Przyprawy', 'Mieszanki przypraw']",1764700717,['OFF']
5902884465447,Roślinne burgery - klasyczny smak – One Day More – 200 g,"['Produkty roślinne', 'Zamienniki mięsa', 'Kotlety wegetariańskie', 'Kotlety wegańskie']",1764700717,['OFF']
5907771443706,Kiełki jarmużu – Uniflora – 50 g,"['Produkty roślinne', 'Kiełki', 'Kiełki kalafiora', 'Kiełki kapusty kędzierzawej']",1764700717,['OFF']
